# x,y
# steps, time in milliseconds
header,0,TCP 2
1,2210,2207,2209,2207,2210
5,3032,3033,3033,3045,3040
10,4080,4074,4077,4075,4076
20,6133,6159,6121,6165,6146
30,8203,8201,8224,8222,8289
40,10346,10326,10385,10318,10305
50,12321,12352,12368,12439,12298
60,14460,14393,14371,14365,14476
70,16438,16447,16569,16540,16419
80,18551,18838,18683,18493,18567
90,20648,20632,20668,20623,20713
100,22550,22713,22701,22672,22682
