# x,y
# steps, time in milliseconds
header,0,UDP 7
1,5195,5186,5185,5186,5188
5,5925,5924,5919,5923,5924
10,6836,6869,6842,6845,6844
20,8693,8693,8675,8706,8683
30,10497,10525,10533,10505,10485
40,12366,12375,12385,12350,12364
50,14196,14176,14170,14197,14208
60,16104,16064,16040,16018,16087
70,17872,17853,17952,17895,17907
80,19687,19679,19679,19723,19784
90,21537,21545,21603,21594,21572
100,23395,23379,23398,23425,23380
